,Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,Male:,,,,,,,,,,,,,,,,,,Female:,,,,,,,,,,,,,,,,,
,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,
Label,,,,,,,,,,,,,,,,,,,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other
Margin of Error,±882,,"±3,718","±4,837","±5,004","±1,974","±3,550","±4,707","±12,675","±3,636","±1,594","±1,956",,"±6,833","±5,698","±5,179","±3,093",±998,"±1,510",,"±1,897","±9,587","±12,263","±6,415","±9,417","±4,115","±13,555","±7,999","±4,772","±4,483",,"±2,555","±5,658","±6,196","±7,579","±7,485",±438,,"±8,192","±5,797","±6,715","±3,851","±6,413","±10,620","±14,157","±3,445","±3,068","±1,771",,"±5,252","±3,920","±2,302","±4,419","±4,865"
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"69,861",,"90,683","71,574","80,477","62,145","70,095","98,841","47,320","82,259","72,466","60,795",,"56,076","56,759","53,590","61,838","61,563","81,772",,"96,797","82,278","101,107","72,149","80,506","100,400","132,654","79,457","85,101","68,846",,"57,459","60,034","71,814","67,494","85,558","61,243",,"76,506","64,906","61,031","60,443","60,888","81,378","35,091","83,193","61,760","59,886",,"55,426","48,586","44,501","56,728","50,090"
Margin of Error,"±2,234",,"±15,603","±5,370","±25,925","±4,232","±3,481","±6,516","±28,885","±5,563","±4,125","±2,444",,"±6,842","±9,309","±12,653","±8,521","±8,920","±2,818",,"±8,980","±20,961","±12,565","±14,966","±11,852","±4,149","±83,344","±14,266","±13,452","±12,643",,"±13,538","±10,836","±18,837","±26,366","±9,233","±1,025",,"±10,975","±8,055","±11,562","±6,846","±5,414","±33,756","±19,421","±6,278","±5,716","±4,427",,"±8,182","±22,223","±8,002","±10,307","±3,519"
Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"65,292",,"76,572","75,717","70,110","51,885","74,036","97,598","52,770","67,479","72,937","54,501",,"55,466","45,664","44,533","55,655","52,944","80,915",,"86,938","81,059","73,185","66,438","92,580","101,344","60,663","83,211","82,449","66,478",,"71,844","61,285","64,365","61,842","72,966","53,254",,"55,396","66,014","56,841","41,422","56,882","71,471","49,155","61,896","64,342","52,458",,"45,478","37,115","35,907","53,080","43,337"
Margin of Error,"±1,303",,"±15,626","±6,041","±9,280","±9,628","±7,055","±9,503","±8,295","±6,232","±5,654","±2,544",,"±8,881","±7,919","±9,501","±6,146","±5,010","±1,617",,"±12,678","±6,519","±14,333","±11,115","±14,707","±4,401","±17,838","±11,236","±6,001","±7,686",,"±16,263","±9,979","±14,067","±11,000","±14,215","±2,092",,"±17,599","±9,782","±20,488","±6,569","±7,074","±25,981","±11,859","±4,736","±7,910","±2,623",,"±8,295","±4,863","±5,556","±6,877","±2,904"
Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"79,276",,"99,679","83,267","91,055","63,368","87,937","103,945","65,107","77,626","89,348","61,795",,"71,415","69,814","60,847","77,092","69,357","93,566",,"104,960","92,275","103,240","81,475","100,933","110,159","97,381","88,897","101,625","76,330",,"79,003","75,826","62,672","82,494","82,590","68,069",,"81,653","74,125","78,193","60,232","72,774","92,364","52,166","74,787","76,059","59,318",,"70,078","61,416","59,960","70,122","60,617"
Margin of Error,"±1,087",,"±4,600","±5,772","±6,841","±3,507","±4,237","±2,606","±6,471","±2,902","±2,616",±739,,"±1,590","±4,663","±1,247","±2,690","±2,753","±1,516",,"±5,985","±8,832","±12,605","±4,948","±2,789","±5,362","±9,316","±3,510","±1,228","±1,829",,"±9,052","±2,329","±4,613","±5,057","±4,153","±1,460",,"±4,909","±5,483","±7,883","±3,275","±5,259","±5,379","±8,121","±2,296","±1,811","±2,460",,"±5,036","±3,700","±5,731","±5,125","±1,627"
Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"66,125",,"82,345","73,115","74,881","54,981","68,594","100,777","54,754","72,084","75,735","52,283",,"56,601","56,067","47,328","59,074","58,284","81,221",,"94,045","85,759","83,276","60,107","77,019","104,741","73,438","80,888","90,924","65,365",,"70,286","62,744","55,705","65,933","74,219","56,283",,"60,969","66,003","67,857","52,028","62,247","72,012","50,842","70,233","61,132","50,547",,"50,453","48,024","40,810","52,514","51,800"
Margin of Error,±703,,"±5,703","±5,394","±6,964","±4,951","±3,522","±2,678","±5,345","±1,916","±2,282","±1,271",,"±4,286","±4,069","±3,606","±4,589","±3,828","±1,097",,"±9,254","±7,692","±6,842","±8,378","±3,235","±5,097","±21,004","±3,214","±3,122","±5,249",,"±10,141","±4,919","±5,057","±7,314","±7,637",±899,,"±1,226","±7,560","±8,057","±3,773","±5,512","±15,388","±13,266","±3,779","±1,120","±1,081",,"±2,746","±4,608","±2,493","±5,241","±2,229"
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"66,740",,"91,582","73,006","75,167","57,571","71,257","95,498","60,014","71,461","78,020","56,510",,"55,390","54,903","49,718","60,646","56,457","80,300",,"99,341","75,272","82,426","65,218","78,131","95,817","49,063","81,832","89,411","69,682",,"61,109","60,821","53,533","52,238","61,924","60,370",,"70,058","71,305","65,263","55,646","61,804","92,696","60,043","67,344","66,574","53,615",,"53,424","42,301","45,074","63,871","52,197"
